id,event_type,event_cause,priority,requires_road_closure,hour,month,is_weekend,corridor,zone,duration_min,high_duration_risk
FKID000003,unplanned,tree_fall,Low,1,17,3,0,Non-corridor,,9465.174807333333,1
FKID000018,unplanned,tree_fall,Low,0,19,3,0,Non-corridor,,293.3450075,0
FKID000021,unplanned,tree_fall,Low,1,19,3,0,Non-corridor,,2928.5208131000004,1
FKID000025,unplanned,tree_fall,Low,1,6,3,0,Non-corridor,,843.3240253,0
FKID000033,unplanned,tree_fall,Low,0,20,3,0,Non-corridor,,2907.6902057166667,1
FKID000048,unplanned,tree_fall,High,0,20,3,0,Bellary Road 1,,1829.3005564666666,1
FKID000058,unplanned,tree_fall,High,0,20,3,0,Bellary Road 1,,1819.0784875333334,1
FKID000059,unplanned,tree_fall,High,0,20,3,0,Bellary Road 1,,1823.1111353833332,1
FKID000060,unplanned,tree_fall,High,0,20,3,0,Bellary Road 1,,1825.6380844833334,1
FKID000066,unplanned,tree_fall,Low,0,20,3,0,Non-corridor,,321.23818236666665,0
FKID000081,unplanned,tree_fall,Low,0,21,3,0,Non-corridor,,116.8119772,0
FKID000095,unplanned,tree_fall,Low,0,21,3,0,Non-corridor,,8.620181266666666,0
FKID000099,unplanned,tree_fall,Low,1,21,3,0,Non-corridor,,8761.173063133332,1
FKID000122,unplanned,tree_fall,Low,1,23,3,0,Non-corridor,,61.79462865,0
FKID000163,unplanned,tree_fall,Low,1,0,3,0,Non-corridor,,178.15932105,0
FKID000174,unplanned,tree_fall,Low,0,5,3,0,Non-corridor,,1228.0686473666667,0
FKID000243,unplanned,tree_fall,Low,1,7,3,0,Non-corridor,,105.48940756666666,0
FKID000244,unplanned,tree_fall,Low,0,7,3,0,Non-corridor,,2198.129693766667,1
FKID000246,unplanned,tree_fall,Low,0,7,3,0,Non-corridor,,2195.455855816667,1
FKID000255,unplanned,tree_fall,Low,1,8,3,0,Non-corridor,,66.3340463,0
FKID000301,unplanned,accident,High,0,19,2,0,Old Airport Road,,35.956496816666665,0
FKID000328,unplanned,accident,Low,0,19,3,0,Non-corridor,,78.2774947,1
FKID000348,unplanned,tree_fall,Low,0,22,3,0,Non-corridor,,508.2992390666667,0
FKID000404,unplanned,accident,Low,0,2,3,1,Non-corridor,,0.8491233333333333,0
FKID000421,unplanned,tree_fall,Low,1,6,3,1,Non-corridor,,52.854736083333336,0
FKID000457,unplanned,tree_fall,High,0,7,3,1,ORR West 1,,628.0100223833334,0
FKID000461,unplanned,accident,High,0,23,2,1,Tumkur Road,,34.37267258333333,0
FKID000492,unplanned,tree_fall,High,0,8,3,1,Hosur Road,,62.19627536666667,0
FKID000504,unplanned,congestion,High,0,20,2,0,Hennur Main Road,,41.08258143333333,0
FKID000515,unplanned,tree_fall,High,0,11,3,1,Mysore Road,,2191.5870473500004,1
FKID000525,unplanned,tree_fall,Low,0,18,3,1,Non-corridor,,1938.8078038166668,1
FKID000527,unplanned,tree_fall,Low,0,18,3,1,Non-corridor,,7741.090977233333,1
FKID000528,unplanned,tree_fall,Low,1,18,3,1,Non-corridor,,7725.8088132,1
FKID000529,unplanned,tree_fall,Low,0,19,3,1,Non-corridor,,7714.292728683333,1
FKID000542,unplanned,tree_fall,Low,0,19,3,1,Non-corridor,,7684.336017833333,1
FKID000563,unplanned,accident,High,0,4,2,0,Bellary Road 1,,16.25948615,0
FKID000586,unplanned,accident,High,0,18,2,0,Bellary Road 2,,65.95049823333333,1
FKID000657,unplanned,accident,Low,0,23,2,0,Non-corridor,,4.357959916666667,0
FKID000706,unplanned,tree_fall,Low,1,18,3,1,Non-corridor,,56.79600258333333,0
FKID000798,unplanned,tree_fall,High,0,9,3,0,West of Chord Road,,31.80648258333333,0
FKID000817,unplanned,tree_fall,Low,0,12,2,0,Non-corridor,,358.28831121666667,0
FKID000828,unplanned,accident,High,0,22,2,0,ORR East 1,,52.74507428333333,0
FKID000866,unplanned,accident,Low,0,6,2,1,Non-corridor,,1.8313234166666668,0
FKID000942,unplanned,accident,High,0,5,2,1,Mysore Road,,32.826353266666665,0
FKID000996,unplanned,congestion,High,0,20,2,0,Hennur Main Road,,81.69610738333334,0
FKID001089,unplanned,congestion,High,0,7,2,0,Hennur Main Road,,70.369317,0
FKID001095,unplanned,tree_fall,High,0,5,3,0,Bellary Road 1,,20.392180399999997,0
FKID001292,unplanned,congestion,High,0,1,2,0,ORR North 1,,87.10293336666668,0
FKID001324,unplanned,tree_fall,Low,1,7,3,0,Non-corridor,,79.37274963333333,0
FKID001331,unplanned,accident,High,0,10,3,0,ORR North 1,,52.03779613333334,0
FKID001355,unplanned,tree_fall,Low,0,20,3,0,Non-corridor,,56.49172753333333,0
FKID001374,unplanned,tree_fall,Low,0,21,3,0,Non-corridor,,31.31014948333333,0
FKID001387,unplanned,congestion,High,0,23,3,0,ORR North 1,,37.785654916666665,0
